RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
394998,23,"Portland, OR",Msa,OR,463156.0,469607.0,476075.0,482220.0,483833.0,483817.0,480575.0,474091.0,466027.0,459575.0,456350.0,454737.0,456366.0,459591.0,466072.0,471717.0,475943.0,476914.0,474511.0,470317.0,464510.0,460962.0,457737.0,457737.0,460640.0,468865.0,475317.0,474349.0,474188.0,476683.0,487941.0,492780.0,496736.0,499962.0,508671.0,518349.0,525528.0,530638.0,538167.0,553333.0,573333.0,589667.0,594667.0,589633.0,581967.0,576617.0,574967.0,575600.0,582250.0,589400.0,596734.0
394458,24,"Charlotte, NC",Msa,NC,327263.0,327295.0,331839.0,338288.0,344674.0,347077.0,344159.0,337773.0,330858.0,324425.0,320216.0,316637.0,315024.0,317620.0,324102.0,332164.0,340194.0,344700.0,344700.0,340863.0,335680.0,333100.0,330520.0,330979.0,331624.0,334848.0,339582.0,341484.0,345919.0,351078.0,361914.0,367344.0,369290.0,368946.0,369544.0,369998.0,369841.0,371674.0,377640.0,387797.0,398960.0,406293.0,408883.0,406186.0,404553.0,406967.0,410000.0,410000.0,407467.0,404467.0,406797.0
395045,25,"Sacramento, CA",Msa,CA,461967.0,467042.0,475692.0,485192.0,491817.0,491500.0,486333.0,479667.0,471333.0,464667.0,457333.0,455633.0,457617.0,465950.0,480528.0,492178.0,502811.0,511267.0,517967.0,521000.0,516300.0,509630.0,503280.0,504317.0,510653.0,519837.0,525500.0,525800.0,524967.0,527967.0,537667.0,547667.0,559633.0,567617.0,575933.0,580633.0,586317.0,587983.0,583313.0,586646.0,596663.0,611333.0,619667.0,617300.0,615933.0,614267.0,618300.0,625000.0,634667.0,644667.0,652054.0
395055,26,"San Antonio, TX",Msa,TX,279966.0,280000.0,283000.0,288657.0,295085.0,298418.0,297761.0,293667.0,288633.0,283633.0,281433.0,280800.0,280800.0,280633.0,281633.0,284967.0,290000.0,293145.0,293112.0,289778.0,286600.0,283297.0,281297.0,278996.0,278633.0,278966.0,282633.0,286167.0,290167.0,293800.0,297300.0,299933.0,299633.0,297967.0,294666.0,291333.0,289333.0,290967.0,294633.0,300772.0,306302.0,316302.0,329663.0,342166.0,348133.0,348136.0,345136.0,344003.0,344833.0,353830.0,363993.0
394943,27,"Orlando, FL",Msa,FL,299900.0,302933.0,309300.0,317667.0,323000.0,325000.0,324967.0,323267.0,319933.0,314933.0,308300.0,303280.0,299947.0,299947.0,303463.0,310163.0,318497.0,323333.0,325000.0,325000.0,325627.0,325627.0,325627.0,325000.0,324967.0,326600.0,328567.0,325690.0,322390.0,320753.0,325330.0,328663.0,330863.0,332497.0,333330.0,332467.0,330163.0,328997.0,331433.0,338028.0,346025.0,356922.0,367630.0,378300.0,384966.0,391600.0,396263.0,399563.0,402930.0,410900.0,425597.0
394466,28,"Cincinnati, OH",Msa,OH,218300.0,219967.0,231600.0,248267.0,261600.0,267600.0,265900.0,259233.0,251600.0,244967.0,241330.0,236297.0,232930.0,236600.0,249933.0,266300.0,279467.0,285590.0,287590.0,284090.0,278667.0,272000.0,265633.0,261300.0,261267.0,269600.0,283233.0,295600.0,308967.0,322000.0,333000.0,334167.0,327500.0,320800.0,313267.0,311233.0,312267.0,321333.0,332997.0,346993.0,360960.0,366130.0,361133.0,347767.0,336600.0,331567.0,329838.0,331035.0,337702.0,347793.0,358297.0
394475,29,"Cleveland, OH",Msa,OH,161567.0,161567.0,164900.0,171433.0,176433.0,181569.0,183403.0,183403.0,181600.0,179867.0,178233.0,176567.0,174800.0,176433.0,179798.0,185402.0,191936.0,196904.0,199467.0,196267.0,192933.0,188267.0,184933.0,181600.0,179900.0,180600.0,185633.0,192000.0,201300.0,209600.0,218267.0,220967.0,214300.0,205933.0,196600.0,192967.0,191333.0,199497.0,213130.0,229763.0,238233.0,237933.0,230967.0,220967.0,211267.0,201567.0,196900.0,193600.0,190267.0,183267.0,179900.0
394735,30,"Kansas City, MO",Msa,MO,254656.0,259950.0,269617.0,274633.0,277333.0,276000.0,275000.0,272300.0,272617.0,280283.0,286950.0,293300.0,296600.0,306933.0,320267.0,331633.0,337967.0,336300.0,329967.0,319967.0,312967.0,308267.0,304967.0,301967.0,306633.0,316897.0,333230.0,342930.0,352667.0,359633.0,364950.0,361617.0,353317.0,344983.0,341602.0,339769.0,342435.0,354133.0,370630.0,384647.0,391330.0,389967.0,382967.0,367967.0,357010.0,353977.0,360310.0,372950.0,390967.0,409800.0,422817.0
394775,31,"Las Vegas, NV",Msa,NV,290167.0,291967.0,294967.0,306300.0,324333.0,341333.0,349333.0,347967.0,341300.0,333299.0,324966.0,321599.0,318264.0,314964.0,312631.0,313300.0,316633.0,320666.0,323333.0,324333.0,322633.0,320933.0,319933.0,319967.0,321333.0,325647.0,333981.0,335647.0,333300.0,329933.0,334900.0,341267.0,344633.0,346333.0,347167.0,347167.0,345833.0,345000.0,354300.0,372283.0,397283.0,416317.0,426667.0,435167.0,444333.0,456333.0,466167.0,476667.0,487967.0,499633.0,509967.0
394492,32,"Columbus, OH",Msa,OH,254267.0,268633.0,285300.0,302630.0,311630.0,317463.0,315767.0,307433.0,294933.0,283267.0,274767.0,268133.0,264800.0,269967.0,286800.0,306800.0,320133.0,325933.0,325967.0,320262.0,309262.0,295095.0,285767.0,280133.0,282600.0,292267.0,306233.0,316233.0,326567.0,336567.0,344933.0,341600.0,329967.0,321600.0,318300.0,321297.0,322327.0,326990.0,333993.0,342993.0,348297.0,348293.0,345797.0,340830.0,335500.0,332997.0,337663.0,345327.0,353297.0,359627.0,364930.0
394705,33,"Indianapolis, IN",Msa,IN,211433.0,215933.0,227600.0,251633.0,272600.0,284297.0,279297.0,269663.0,259633.0,249600.0,239900.0,232933.0,229633.0,234667.0,248300.0,266633.0,281600.0,286600.0,284900.0,279767.0,274800.0,269800.0,264633.0,257967.0,256300.0,261288.0,273255.0,283255.0,291900.0,302233.0,310600.0,315600.0,309633.0,299633.0,287667.0,279667.0,277667.0,280119.0,288119.0,296353.0,302565.0,303648.0,302380.0,302383.0,304963.0,307661.0,309660.0,312963.0,317630.0,323932.0,327265.0
